SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1628973,Jalen Brunson,1610612752,NYK,77,2726.3033333333333,1648,497,186,0.315,New York Knicks,82,7272,1789,1085.0,2052.6800000000003,9144.16,0.22447988661615723,0.22377277497331632,0.014032437593779838,0.8028528557787866,64.91025258022202,0.22377277497331632,1,1
2023-24,1629029,Luka Dončić,1610612742,DAL,70,2624.04,1652,608,282,0.428,Dallas Mavericks,82,7352,1842,1027.0,2201.52,9189.48,0.23956959479752934,0.23854423693179594,0.01786537228823722,0.7503906391947381,64.41939657579594,0.23854423693179594,1,2
2023-24,1630162,Anthony Edwards,1610612750,MIN,79,2770.383333333333,1558,506,241,0.241,Minnesota Timberwolves,82,6974,1881,1162.0,2021.64,8963.64,0.22553783953840184,0.22499429334511428,0.010685568350448149,0.7706614431847411,64.33834244523091,0.22499429334511428,1,3
2023-24,1628368,De'Aaron Fox,1610612758,SAC,74,2658.7633333333333,1549,423,194,0.244,Sacramento Kings,82,7455,1710,1078.0,1929.12,9285.4,0.20775841643871024,0.20725148590259979,0.01174440988637306,0.8029567885875426,64.27187242929926,0.20725148590259979,1,4
2023-24,1630178,Tyrese Maxey,1610612755,PHI,70,2625.806666666667,1419,378,116,0.257,Philadelphia 76ers,82,7331,1934,984.0,1701.32,9165.96,0.18561285451823922,0.18513582948212737,0.013846023793289917,0.8340582606446759,64.00287939362309,0.18513582948212737,1,5
2023-24,1627749,Dejounte Murray,1610612737,ATL,78,2783.3433333333332,1463,262,201,0.274,Atlanta Hawks,82,7584,1906,1110.0,1779.28,9532.64,0.18665133688044447,0.18613991221739207,0.014679776988444764,0.8222427049143474,63.80130757350473,0.18613991221739207,1,6
2023-24,1628983,Shai Gilgeous-Alexander,1610612760,OKC,75,2552.6866666666665,1487,649,162,0.287,Oklahoma City Thunder,82,7324,1759,1039.0,1934.56,9136.96,0.21172906524708437,0.21112140282982522,0.01355505913489372,0.7686502357125135,63.727367324133645,0.21112140282982522,1,7
2023-24,201939,Stephen Curry,1610612744,GSW,74,2421.5383333333334,1445,324,210,0.241,Golden State Warriors,82,7515,1644,1174.0,1797.56,9412.36,0.19097867059908458,0.19051841200294078,0.012619210262800686,0.8038674647855982,63.62009611967535,0.19051841200294078,1,8
2023-24,1628369,Jayson Tatum,1610612738,BOS,74,2645.213333333333,1426,497,188,0.211,Boston Celtics,82,7396,1654,979.0,1832.68,9102.76,0.20133234315745993,0.2009075319133977,0.010480183992841084,0.7780954667481502,63.53080306126141,0.2009075319133977,1,9
2023-24,202696,Nikola Vučević,1610612741,CHI,76,2609.5016666666666,1211,129,120,0.153,Chicago Bulls,82,7339,1731,1004.0,1387.76,9104.64,0.15242337972725994,0.15219017195627724,0.010037830172364096,0.8726292730731539,63.488320650553476,0.15219017195627724,1,10
2023-24,201142,Kevin Durant,1610612756,PHX,75,2790.6366666666668,1436,423,244,0.213,Phoenix Suns,82,7063,1915,1221.0,1866.12,9126.6,0.2044704490171586,0.20403492696075207,0.010417153237733909,0.7695110710993934,63.48383938267422,0.20403492696075207,1,11
2023-24,203999,Nikola Jokić,1610612743,DEN,79,2736.5333333333333,1411,438,237,0.391,Denver Nuggets,82,7279,1628,1036.0,1840.72,9031.32,0.20381516766098423,0.20301825035542978,0.01918404819853101,0.7665478725716024,63.32716415787143,0.20301825035542978,1,12
2023-24,1628970,Miles Bridges,1610612766,CHA,69,2581.116666666667,1210,211,138,0.146,Charlotte Hornets,82,7133,1512,1129.0,1440.84,8927.279999999999,0.1613974245234831,0.1611617842836788,0.009045993170650453,0.8397879015019017,63.19325501097736,0.1611617842836788,1,13
2023-24,1628969,Mikal Bridges,1610612751,BKN,82,2854.24,1294,317,164,0.163,Brooklyn Nets,82,7307,1711,1076.0,1597.48,9135.84,0.1748585789593513,0.17457355947564757,0.009321818864711923,0.8100257906202268,63.12965897077859,0.17457355947564757,1,14
2023-24,1631094,Paolo Banchero,1610612753,ORL,80,2798.701666666667,1407,559,247,0.254,Orlando Magic,82,6964,2002,1206.0,1899.96,9050.880000000001,0.20991991938905386,0.20938672279380566,0.012099852207414896,0.7405419061453925,63.106034898470014,0.20938672279380566,1,15
2023-24,1628398,Kyle Kuzma,1610612764,WAS,70,2281.141666666667,1313,240,192,0.201,Washington Wizards,82,7493,1657,1147.0,1610.6,9369.08,0.17190588617025362,0.17156035533905142,0.011692444306469641,0.8152241400720229,63.1003182482506,0.17156035533905142,1,16
2023-24,1629008,Michael Porter Jr.,1610612743,DEN,81,2564.605,1079,110,92,0.064,Denver Nuggets,82,7279,1628,1036.0,1219.4,9031.32,0.13501902268992796,0.13493261051540642,0.004740072822699688,0.8848614072494669,63.07238905258646,0.13493261051540642,2,17
2023-24,201942,DeMar DeRozan,1610612741,CHI,79,2988.568333333333,1355,612,135,0.22,Chicago Bulls,82,7339,1731,1004.0,1759.28,9104.64,0.19322894699845355,0.19280384331505696,0.011385457687235687,0.7702014460461097,63.04518680086034,0.19280384331505696,2,18
