game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score,home_rebounds,away_rebounds,home_assists,away_assists,home_turnovers,away_turnovers,home_ftm,away_ftm,home_fta,away_fta,home_inactive_players,away_inactive_players
0042300133,1610612753,1610612739,0,0,121,83,51,32,24,24,8,14,14,11,16,13,0,0
0042300102,1610612738,1610612748,0,0,101,111,39,40,21,25,12,12,15,14,21,18,6,6
0042300142,1610612760,1610612740,0,0,124,92,37,35,25,16,8,17,18,19,20,21,2,3
0042300122,1610612749,1610612754,0,1,108,125,40,45,24,38,7,5,19,9,21,14,2,4
0042300162,1610612750,1610612756,0,0,105,93,39,41,23,19,13,19,26,15,30,19,3,2
0042300172,1610612746,1610612742,0,0,93,96,47,50,18,17,8,13,21,18,26,27,5,5
0042300132,1610612739,1610612753,0,0,96,86,48,41,18,18,15,16,16,19,26,26,4,4
0042300152,1610612743,1610612747,0,0,101,99,45,38,26,24,9,14,15,10,17,13,6,3
0042300112,1610612752,1610612755,0,0,104,101,46,44,22,26,7,10,19,16,23,22,6,5
0042300171,1610612746,1610612742,1,0,109,97,45,41,21,14,12,8,11,25,13,33,5,1
0042300101,1610612738,1610612748,0,0,114,94,44,34,27,23,10,9,14,6,16,6,6,6
0042300121,1610612749,1610612754,0,0,109,94,47,50,21,20,10,12,13,14,13,21,5,3
0042300141,1610612760,1610612740,0,0,94,92,44,52,21,22,13,14,10,7,13,9,4,5
0042300151,1610612743,1610612747,0,0,114,103,49,40,27,22,4,12,5,17,6,19,4,3
0042300131,1610612739,1610612753,0,1,97,83,54,40,21,16,17,12,17,19,21,30,3,5
0042300111,1610612752,1610612755,0,0,111,104,55,33,20,17,11,11,23,20,28,22,6,4
0042300161,1610612750,1610612756,0,0,120,95,52,28,26,16,14,15,20,20,22,25,2,1
0052300201,1610612748,1610612741,0,0,112,91,47,38,26,27,15,12,22,8,24,10,3,2
0052300211,1610612740,1610612758,0,0,105,98,45,40,29,21,15,15,10,15,13,22,5,4
0052300111,1610612741,1610612737,0,0,131,116,47,34,27,30,7,9,12,23,15,28,2,3
0052300101,1610612755,1610612748,0,0,105,104,49,47,23,23,15,13,21,14,23,19,4,6
0052300131,1610612758,1610612744,1,0,118,94,49,42,28,19,8,16,14,18,15,23,1,1
0052300121,1610612740,1610612747,0,0,106,110,50,41,30,24,12,8,11,26,15,29,6,3
2042300403,1612709915,1612709889,0,0,100,117,43,50,25,20,8,11,5,12,8,14,0,2
0022301192,1610612755,1610612751,0,0,107,86,57,42,30,19,12,12,11,13,15,17,3,3
0022301197,1610612759,1610612765,0,0,123,95,54,40,33,17,13,14,10,15,14,20,1,3
0022301190,1610612752,1610612741,0,0,120,119,53,44,27,25,21,12,16,13,21,16,6,4
0022301194,1610612750,1610612756,0,0,106,125,36,32,22,28,24,12,25,15,31,18,1,1
0022301199,1610612746,1610612745,0,0,105,116,51,59,23,31,12,18,15,5,17,14,3,0
0022301186,1610612738,1610612764,0,0,132,122,48,36,29,33,14,11,14,10,21,10,1,3
0022301196,1610612760,1610612742,0,0,135,86,58,41,38,19,14,14,13,14,16,17,0,2
0022301193,1610612763,1610612743,0,0,111,126,43,54,22,32,13,17,13,22,18,26,4,2
0022301200,1610612758,1610612757,0,2,121,82,51,54,29,18,14,17,22,13,27,17,0,4
0022301195,1610612740,1610612747,0,0,108,124,39,39,26,32,19,14,11,17,14,18,3,1
0022301188,1610612754,1610612737,0,0,157,115,48,32,41,25,14,15,8,25,10,27,1,1
0022301198,1610612744,1610612762,0,0,123,116,42,48,35,22,9,19,19,10,23,16,0,2
0022301189,1610612748,1610612761,0,0,118,103,46,41,29,23,19,19,17,18,19,21,0,2
0022301191,1610612753,1610612749,0,0,113,88,43,34,27,16,11,17,18,21,19,23,0,2
0022301187,1610612739,1610612766,0,0,110,120,43,47,30,36,14,9,6,9,9,11,0,3
0022301172,1610612764,1610612741,0,0,127,129,39,56,32,28,12,13,19,19,29,28,3,3
0022301182,1610612744,1610612740,0,0,109,114,53,38,27,24,16,8,16,10,21,16,6,5
0022301176,1610612748,1610612761,0,0,125,103,37,41,37,23,4,17,18,19,23,22,2,1
0022301181,1610612742,1610612765,0,0,89,107,49,40,20,23,20,6,9,7,12,9,0,5
0022301174,1610612739,1610612754,0,0,129,120,41,39,28,37,9,13,16,19,23,22,7,5
0022301177,1610612763,1610612747,0,0,120,123,42,39,19,25,13,19,17,26,21,34,4,6
0022301180,1610612759,1610612743,0,0,121,120,49,33,31,31,18,7,16,9,23,10,2,5
0022301185,1610612758,1610612756,0,0,107,108,35,41,26,25,7,18,13,16,14,17,7,7
0022301183,1610612757,1610612745,0,0,107,116,48,48,20,25,7,8,21,17,29,20,3,4
0022301179,1610612760,1610612749,0,0,125,107,38,42,29,27,10,17,18,12,20,13,1,0
0022301175,1610612752,1610612751,0,0,111,107,31,45,21,22,5,12,21,14,25,19,6,4
