game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score
0022301150,1610612745,1610612753,0,0,118,106
0022301148,1610612749,1610612738,0,0,104,91
0022301152,1610612750,1610612764,1,0,130,121
0022301151,1610612763,1610612759,0,0,87,102
0022301144,1610612766,1610612742,0,0,104,130
0022301156,1610612756,1610612746,0,0,92,105
0022301155,1610612747,1610612744,0,0,120,134
0022301157,1610612757,1610612740,0,0,100,110
0022301140,1610612759,1610612755,0,0,126,133
0022301131,1610612742,1610612745,0,1,147,136
0022301134,1610612738,1610612757,0,0,124,107
0022301133,1610612754,1610612748,0,0,117,115
0022301138,1610612756,1610612740,0,0,105,113
0022301142,1610612744,1610612762,0,0,118,110
0022301135,1610612766,1610612760,0,0,118,121
0022301141,1610612751,1610612758,0,0,77,107
0022301132,1610612746,1610612739,0,0,120,118
0022301137,1610612761,1610612764,0,0,130,122
0022301136,1610612753,1610612741,0,0,113,98
0022301139,1610612749,1610612752,0,0,109,122
0022301143,1610612747,1610612750,0,0,117,127
0022301128,1610612751,1610612765,0,0,113,103
0022301130,1610612743,1610612737,0,0,142,110
0022301127,1610612747,1610612739,0,0,116,97
0022301129,1610612763,1610612755,0,0,96,116
0022301117,1610612764,1610612757,0,0,102,108
0022301116,1610612754,1610612760,0,0,126,112
0022301122,1610612749,1610612761,0,0,111,117
0022301119,1610612741,1610612752,0,1,108,100
0022301115,1610612766,1610612753,0,0,124,115
0022301118,1610612738,1610612758,0,0,101,100
0022301120,1610612745,1610612748,0,0,104,119
0022301123,1610612740,1610612759,0,0,109,111
0022301125,1610612756,1610612750,0,0,97,87
0022301121,1610612763,1610612765,0,0,108,90
0022301097,1610612742,1610612744,0,0,108,106
0022301126,1610612746,1610612762,0,0,131,102
0022301111,1610612748,1610612755,0,0,105,109
0022301113,1610612745,1610612744,0,0,110,133
0022301114,1610612746,1610612743,0,0,102,100
0022301124,1610612742,1610612737,0,0,109,95
0022301112,1610612752,1610612758,0,0,120,109
0022301108,1610612750,1610612761,0,0,133,85
0022301109,1610612740,1610612753,0,0,108,117
0022301103,1610612764,1610612747,0,1,120,125
0022301105,1610612738,1610612760,0,0,135,100
0022301102,1610612766,1610612757,0,0,86,89
0022301104,1610612737,1610612765,0,0,121,113
0022301110,1610612756,1610612739,0,0,122,101
0022301106,1610612751,1610612754,0,0,115,111
0022301107,1610612749,1610612763,0,0,101,111
0022301100,1610612762,1610612739,0,0,113,129
0022301101,1610612758,1610612746,0,0,109,95
0022301094,1610612761,1610612747,0,0,111,128
0022301096,1610612748,1610612752,0,0,109,99
0022301095,1610612764,1610612749,0,0,117,113
0022301098,1610612750,1610612745,0,0,113,106
0022300589,1610612744,1610612742,0,0,104,100
0022301099,1610612743,1610612759,0,0,110,105
0022301093,1610612755,1610612760,0,0,109,105
0022301087,1610612766,1610612738,0,0,104,118
0022301092,1610612740,1610612756,0,0,111,124
0022301089,1610612754,1610612751,1,0,133,111
0022301088,1610612765,1610612763,0,0,108,110
0022301091,1610612741,1610612737,0,0,101,113
0022301090,1610612753,1610612757,0,0,104,103
0022301081,1610612764,1610612748,0,0,107,119
0022301079,1610612766,1610612746,0,0,118,130
0022301085,1610612759,1610612744,0,0,113,117
0022301078,1610612751,1610612747,0,0,104,116
0022301086,1610612758,1610612762,0,0,127,106
0022301080,1610612761,1610612755,0,0,120,135
0022301082,1610612752,1610612760,0,1,112,113
0022301083,1610612745,1610612742,0,0,107,125
0022301077,1610612743,1610612739,0,0,130,101
0022301084,1610612750,1610612741,0,0,101,109
0022301074,1610612740,1610612738,0,0,92,104
0022301075,1610612753,1610612763,0,0,118,88
0022301076,1610612737,1610612749,0,0,113,122
0022301064,1610612753,1610612746,0,0,97,100
0022301073,1610612758,1610612742,0,0,103,107
0022301067,1610612739,1610612755,0,0,117,114
0022301072,1610612762,1610612745,0,0,100,101
0022301065,1610612764,1610612765,0,0,87,96
